titulo,texto,categoria,url,fecha
El tiempo en Rosario: sábado con calor como anticipo a las lluvias,"El Servicio Meteorológico Nacional (SMN) indicó, en su pronóstico diario, que Rosario tendrá un sábado con temperatauras por encima de los 30 grados. Además, hay probabilidad de tormentas aisladas entre la tarde y la noche.
El inicio de la jornada estará marcado por una temperatura elevada, considerando el momento del día, ya que los termómetros no bajarán de los 18 grados. En tanto, se espera que hacia la tarde la máxima llegue a 32º.
Durante la tarde, según el pronóstico del SMN, se pueden desarrollar tormentas aisladas que serán la antesala de un domingo de elecciones lluvioso ya que el organismo nacional anticipa tormentas fuertes entre la madrugada y la tarde.
Para este domingo, se espera una mínima de 21º y una máxima de 26 grados, con lluvias de variada intensidad durante casi toda la jornada.",La Ciudad,https://www.lacapital.com.ar/la-ciudad/el-tiempo-rosario-sabado-calor-como-anticipo-las-lluvias-n10096478.html,2023-10-20T22:53:00
Provincial debuta este sábado en la Liga Argentina,"Provincial debutará este sábado, a las 22, en el Salvador Bonilla ante Pergamino Básquet por la Liga Argentina. Se pueden conseguir los abonos con un buen descuento en el Instagram provinbasquet.
Después de varios años, un equipo de Rosario jugará en el segundo nivel del básquet nacional. Provincial integrará la Conferencia Sur donde luego de su estreno se medirá con Racing de Chivilcoy (L) (23/10), Ciclista Juninense (L) 25/10, Pico F.C. (V) (29/10), Ameghino de Villa María (V) (30/10), Deportivo Viedma (L) (04/11), Villa Mitre de Bahía Blanca (V) (06/11), Gimnasia y Esgrima La Plata (V) (12/11) e Hispano Americano (V) (14/11).
El equipo que dirige Gustavo Lalima, quien tiene como laderos a Iván Acosta, Juan Pablo Alcázar y Renzo Bertolone (preparador físico), Mariano Traglia (médico), Liliana Grabin (psicóloga deportiva), Valentín Barra (utilero) y Silvia García (utilera) tendrá cuatro caras nuevas: Ignacio Bednarek, Gregorio Traglia, Santiago López y Lucas Herrera.
Un sello que distingue a este plantel es que se armó un equipo con la mayoría de jugadores que están identificados con clubes de acá: Pablo Fernández, Adrián Boccia, Tomás Gómez Platía y Matías Stra (Provincial), Lucas Herrea (El Tala), Juan Pablo Evangelista (GER), Alejandro Ettorre (Regatas), Ignacio Bednarek (Náutico), Gregorio Traglia (Temperley) y Matías Quiroga (Atlantic). No provienen de clubes de la ciudad: Santiago López, Nicolás Reyero, Gastón Gerbaudo y Federico Pérez.",Ovación,https://www.lacapital.com.ar/ovacion/provincial-debuta-este-sabado-la-liga-argentina-n10096477.html,2023-10-20T22:20:00
"Por efecto de la sequía, la economía de Santa Fe cayó 7,6%","La actividad económica de Santa Fe cayó 7,6% en julio y acumula una baja de 9,6% en siete meses del año. Así lo informó el Instituto Provincial de Estadística y Censos (Ipec).
El Indicador Mensual de Actividad Económica (Imae) que elabora el organismo de estadística mostró una caída de 21,5% en el sector agropecuario, del 14,8% en transporte y comunicaciones, del 12,3% en la industria, del 7,5% en la electricidad y del 6,5% en construcción y del 5,3% en el comercio.
Con signo positivo evolucionaron durante el mes hoteles y turismo (4,4%), administración pública (6,3%), enseñanza (2,8%), servicios sociales y salud (1,7%) e intermediación financiera (0,6%).
Los sectores que presentaron mayor incidencia en la variación interanual del Imae fueron: industria manufacturera (-3,7 puntos), comercio mayorista, minorista y reparaciones (-1,4 punto), agricultura, ganadería, caza y silvicultura (-1,1 punto) y transporte y comunicaciones (-1 punto).
El Imae es un indicador provisorio de la evolución del PGB a precios constantes de 2004 que se estima en forma agregada como un índice mensual con base 100 en el año 2004. La estimación incluye la serie original, la serie desestacionalizada y la tendencia – ciclo, desde enero de 2004.
Su cálculo se estructura en la sumatoria del valor agregado a precios básicos de cada una de las 16 actividades económicas del PBG, utilizando las ponderaciones de las cuentas provinciales año base 2004. El valor agregado se estima mensualmente utilizando los índices de volumen físico que se aplican en la actualización de PBG constante, replicando su metodología de cálculo.
En la comparación con el mes de junio, la economía mostró un leve repunto de 0,5%, mientras que el indicador tendencia ciclo presenta una caída de 0,2%. La sequía golpeó duramente a la economía santafesina.",Economía,https://www.lacapital.com.ar/economia/por-efecto-la-sequia-la-economia-santa-fe-cayo-76-n10096476.html,2023-10-20T22:11:00
Tensa tregua cambiaria en la semana preelectoral,"Con el refuerzo del swap chino y de las fuerzas de seguridad, el mercado cambiario cerró en tensa calma la semana preelectoral. Casi sin operaciones, el dólar blue se mantuvo en la cotización de los últimos días, mientras que el CCL y el MEP subieron aunque dentro de márgenes administrados por la intervención oficial. El Banco Central vendió u$s 45 millones en su intervención en la plaza oficial.
El índice S&P Merval cerró con una suba del 4,81%, y cortó con una racha de dos rondas negativas, en lo que fue la última ronda del mercado antes de las elecciones presidenciales que tendrán lugar el próximo domingo.
Por otro lado, el Central acumula ventas por u$s 858 millones. Los dólares bursátiles mantuvieron la tendencia alcista de los días previos aunque con magnitudes muy diferentes. En el caso del dólar MEP el incremento final fue del 1,2%, en $ 898,91, tras haber cotizado durante buena parte de la jornada por encima de los $ 900. En tanto, el CCL tuvo un importante salto del 16,1%, hasta los $ 1.110,59 por unidad, luego de abrir la ronda cerca de los $ 950.
En lo que va del mes, el MEP acumula un alza de 28,2% y el CCL 35%.
Por su parte, en el mercado informal la jornada transcurrió nuevamente con una relativa calma luego de la oficialización de anteayer de la activación de un nuevo swap con China por un equivalente a u$s 6.500 millones y por la persistencia de operativos en la city porteña. En ese marco, el blue cotizó sin cambios respecto a la víspera, en $ 900 por unidad. En Rosario hubo dispersión de precios, con algunas cotizaciones por encima de los mil pesos, pero en medio de una actividad casi nula en la plaza.
En el mercado mayorista, la divisa estadounidense finalizó en $ 349,95, sin variaciones respecto del cierre de la ronda previa, mientras que el minorista concluyó a $ 368 promedio para la venta.
La fuerza pública no deja de patrullar el sector financiero, formal e informal, para evitar maniobras especulativas. Por caso, fuerzas de seguridad realizaron un procedimiento en una sociedad de bolsa perteneciente a una entidad bancaria para requerir información sobre operaciones “sospechosas” con divisas realizadas por un cliente.
“Se investiga si se incumplió con la Resolución General 981, que establece que los agentes debían informar con cinco días de anticipación aquellas operatorias de dolarización que superaran los $ 200 millones”, indicó una fuente, que precisó que en este caso se trataría de una operación 10 veces más de lo permitido por la norma. Es decir, en torno a los $ 2.000 millones.
En un comunicado, la sociedad de bolsa Santander Valores informó que recibieron un “pedido de información administrativo de CNV sobre clientes sobre operaciones debidamente documentadas”. Según la entidad bancaria, “Santander Valores cumple estrictamente con los pedidos de información de los organismos reguladores”.
Por otra parte, dos empresas de fletes marítimos habrían pasado por la “cueva” en la city porteña a cargo de Ivo Esteban Rojnica en una operatoria en la cual presuntamente fugaron casi u$s 11 millones, según se desprende de las carpetas encontradas en las oficinas del financista.
La trama se desprende luego de que Aduana detectó una “amplia disparidad” en los valores de los fletes, detectando “una sobrefacturación de los fletes y del precio de los contenedores” por medio de la empresa paraguaya.
Por otra parte, la Administración Federal de Ingresos Públicos (Afip), a través de la Dirección General Impositiva (DGI), realizó fiscalizaciones electrónicas y presenciales sobre agencias de turismo de todo el país por presuntos desvíos en el ingreso de percepciones del Impuesto Para una Argentina Inclusiva y Solidaria (País), como así también el Impuesto a las Ganancias y sobre los Bienes Personales.",Economía,https://www.lacapital.com.ar/economia/tensa-tregua-cambiaria-la-semana-preelectoral-n10096475.html,2023-10-20T22:09:00
Plaza juega por la salvación en el Top 12 de la Urba,"Este sábado finaliza la fase regular del Top 12 en una jornada en la que se definirá el segundo descenso. Pucará es el único confirmado para jugar en 2024 en Primera A pero hay cuatro equipos que pujan por mantener la categoría y no acompañar al equipo de Burzaco. Uno de ellos es Atlético del Rosario, los otros son Buenos Aires, San Luis y La Plata.
Atlético tiene 38 unidades y es el que está en una posición más holgada. Este sábado a la tarde recibirá a San Luis y si logran una victoria, un empate, o si caen frente a San Luis; pero tampoco ganan ni Buenos Aires ni La Plata (con bonus ofensivo) habrán conservado la categoría.
Para enfrentar a San Luis, Atlético del Rosario alistará a Agustín Fernández, Jeremías Aime y Lisandro Dipierri; Jerónimo Gómez Vara y José Cáceres; Santiago Casals, Lucas Malanos y Valentín Tumosa; Pedro Bisio y Manuel Nogués; Nicolás Casals, Pedro De Haro, Tomás Malanos y Valentino Aimé; Martin Elías.
Buenos Aires (36 puntos) visitará al SIC. El León de Victoria tendrá una dura parada en Boulogne frente a un conjunto que buscará la primera colocación. Los dirigidos por Martín Mato y Martín Etchepare necesitan los cuatro puntos o un empate. En el caso de que caigan frente al SIC, Buenos Aires deberá aguardar que no ganen ni San Luis ni La Plata.
San Luis llega con los mismos puntos que El León de Victoria. El Marista tendrá un duelo clave en Rosario, frente a Atlético. En el caso de no conseguir una victoria o un empate, tendrá que esperar una caída de La Plata en manos de Alumni. Por su parte, el Canario es el más complicado: logró un triunfo clave frente a Buenos Aires, y alcanzó las 33 unidades. Hoy deberá derrotar a Alumni y aguardar que San Luis o el conjunto de San Fernando sean vencidos.
En los restantes partidos CUBA recibirá a Hindú en Villa de Mayo, Pucará a Newman y CASI a Belgrano en La Catedral.
La paridad que se mantuvo en el curso de la primera parte del Torneo del Interior, ahora atravesará un momento excluyente. El Torneo del Interior tendrá este sábado su última fecha de la etapa clasificatoria para ambas categorías y la expectativa es grande.
En ese marco, habrá un duelo de rosarinos en la Zona 2. En las Cuatro Hectáreas de Fisherton, bajo la supervisión de Juan Manuel López, desde las 16 se medirán Jockey Club y Gimnasia y Esgrima, en un partido clave para el verdiblanco que necesita ganar para clasificar.
En el barrio Las Delicas, en tanto, Duendes recibirá a Universitario de Córdoba (Gorla). El programa se completa con los siguientes partidos: Santa Fe Rugby v. Curne, Urú Curé v. Los Tarcos, Universitario de Tucumán v. Córdoba Athletic, San Martín de Villa María v. Estudiantes, Jockey Club Córdoba v. Tucumán Rugby y Marista v. Old Lions.
Por el Interior B, Uni visita a Liceo y Old Resian recibe a Crai.",Ovación,https://www.lacapital.com.ar/ovacion/plaza-juega-la-salvacion-el-top-12-la-urba-n10096462.html,2023-10-20T22:05:00
Newell's: las variantes lo enderezaron y venció a Tigre,"El choque en Tigre transitaba dentro de un desarrollo de vuelo muy bajo. El local siempre quedó atrapado por sus necesidades y a Newell’s le costó encontrar el rumbo al triunfo. En el primer tiempo quedó enredado en una apuesta táctica con línea de tres en el fondo, con Sordo situado como lateral volante por derecha. Esa determinación le costó otra vez muy caro al extremo que Heinze utiliza en otras posiciones.
Con esa disposición, Sordo aporta muy poco abajo y se desgasta demasiado para llegar arriba con resto para gambetear y para enviar un centro certero. Una vez más quedó claro que no es el jugador más apto para cumplir ese rol, por eso no se entiende la insistencia del entrenador con este tipo de determinaciones.
Sordo ingresó con San Lorenzo como extremo, cumplió y además marcó un gol. Con ese antecedente inmediato resulta muy dificultoso comprender la decisión de usarlo en otro puesto.
De esa manera, pierde el jugador y también pierde el equipo porque queda con un sector totalmente desaprovechado.
El DT rojinegro entendió eso recién en el entretiempo y con el ingreso de Méndez por Sordo el conjunto visitante logró recomponerse. Solo por una cuestión de lógica y sentido común. Con el uruguayo, Newell’s sumó más firmeza y alternativas por derecha y con su empuje generó ocasiones que les permitieron a la lepra construir este triunfazo.
Ese cambio, cambió el partido. Después, con May por Recalde también le agregó atrevimiento y movilidad al ataque. Y desde su picardía, el charrúa, olió el error de Marinelli al final y estableció el 2-0 que le puso un moño a la victoria visitante.
Así, los desaciertos del comienzo fueron enderezados en el complemento y desde el banco estuvieron las claves de esta gran alegría que se regaló Newell’s en Tigre.",Ovación,https://www.lacapital.com.ar/ovacion/newells-las-variantes-lo-enderezaron-y-vencio-tigre-n10096474.html,2023-10-20T21:56:00
Newell's y un triunfo que lo catapulta a las copas,"La ráfaga demoledora de Newell’s en el cierre del partido ante Tigre le sirvió de catapulta para todas las tablas. Y esta fecha novena le terminó sonriendo a los rojinegros. Porque el cierre de la temporada los encuentra a tiro de todo.
Como primera medida con el 2 a 0 en Victoria, con goles de Angelo Martino y Guillermo May, la lepra se metió entre los cuatro primeros de la zona B, en busca de los playoffs de cuartos de final de la Copa de Liga.
Tras la derrota en el clásico todo parecía complicarse, pero el equipo de Gabriel Heinze logró dos triunfos en fila de visitante, antes goleó 3 a 0 a San Lorenzo en el Nuevo Gasómetro, y se reposicionó en la actual Copa de la Liga Profesional.
Pero todavía hay más. Porque con los tres puntos ante el matador, los del Parque quedaron a tiro de la clasificación a la próxima Copa Sudamericana.
El triunfazo en Victoria le posibilitó al rojinegro dar un salto de calidad en la tabla acumulada.
La lepra llegó a la línea de los 49 puntos y allí alcanzó al último clasificado que es Lanús, aunque con un gol menos en la diferencia de goles que el granate.
Lanús está en la posición décimo primera y entra a las copas internacionales por la plaza que se abrirá por el campeón de Copa Argentina, ya que hoy los cuatro semifinalistas de ese certamen (Boca, Estudiantes, San Lorenzo y Defensa y Justicia) están en puestos de clasificación.
Newell’s cierra el año ante Godoy Cruz (L), Platense (V), Sarmiento (L), Boca (V) y Defensa y Justicia (L).",Ovación,https://www.lacapital.com.ar/ovacion/newells-y-un-triunfo-que-lo-catapulta-las-copas-n10096471.html,2023-10-20T21:45:00
Copa Santa Fe: Central al final debió ganarlo en la definición por penales,"Sportivo Las Parejas y Central igualaron 1 a 1 y el segundo finalista de la Copa Santa Fe se definió por penales. Ahí los canallas sufrieron, tenían dos de ventaja y se lo igualaron, hasta que Valentino Quintero, el arquero, convirtió el último y la victoria fue por 5 a 4. En los 90 minutos, los dos goles fueron espectaculares, de afuera del área, el del canalla al inicio del complemento y el del Lobo en el penúltimo minuto de descuento. Después desde los doce pasos, el local falló más y quedó afuera. El rival auriazul será Unión, que venció a Colón en semifinales.
En la década del 70 y del 80 cuando no había partido de reserva,  Central generalmente recibía a algún equipo de alguna liga de la provincia de Santa Fe o Córdoba y la mayoría de las veces ganaba sin despeinarse y algunas veces con goleadas de dos dígitos. Pero eso cambió radicalmente, ya que desde hace tiempo los clubes de las ligas se fueron profesionalizado. Y Sportivo Las Parejas fue uno de ellos, no solo en lo deportivo sino en lo institucional.  Y el partido de ayer fue una muestra. Porque esta reserva de Central de la cual varios jugadores ya jugaron en primera tuvieron enfrente  a un duro rival como el Lobo que participa en el Federal A y busca un lugar en la Primera Nacional. Por eso el equipo de Germán Rivarola ganó y pasó a la final de la Copa Santa Fe, pero le costó muchísimo.
Para los pibes de Central, más allá del resultado final, fue un examen del cual sacaron provecho para el futuro. El Pichi Modica fue el que más aprovechó esta lección. Porque se encontró con dos zagueros como Romero y Espindola que le hicieron sentir el rigor en todo momento. El Flaco generó un par de situaciones en el primer tiempo pero la más clara fue un remate de Peralta a los 34’ que sacó el arquero Pablo Fernández.
Sportivo fue muy incisivo al comienzo. A los 5’ lo tuvo en los pies de Noel León pero hubo una buena respuesta de Quintero. A los 25’ Balbi llegó con un remate desde afuera y a los 43’, tras una jugada entre Bocchietti y León casi Pizzichini es quien abre el marcador.
En el segundo tiempo el golazo desde afuera de área a los 49'de Juan Cruz Cerrudo rompió el partido. Un minuto más tarde  Quintero se lució ante Noel Leon y le ahogó el empate. La ventaja auriazul le permitió a los pitufos que tiene Central en la mitad de la cancha, Peralta, Iglesias y la Pulga García jugar un poco mas, pero sin crear situaciones de peligro.
#CopaSantaFe | ¡Golazo Canalla!Con este tanto, Juan Cruz Cerrudo puso en ventaja a #RosarioCentral contra Sportivo Las Parejas. pic.twitter.com/uNjwpIArtB
En los últimos 20' el ingreso de Mateo Serra por Peralta, para ayudar un poco más en la contención a Campos y la decisión del DT local de poner un delantero por un defensor fue una muestra clara que los de Rivarola se iban a parar de contra hasta el final.
Los minutos finales fueron intensos. El lobo llenó de centros el área canalla que eran rechazados por la defensa o por Modica en alguna pelota parada.A los 85 el centrodelantero de Central  quedó mano a mano con Fernandez, quiso hacer la de Caniggia ante Brasil en Italia 90, pero le quedó larga la gambeta.
El partido se consumía hasta que en el sexto adicional un golazo de Alan Balbi le puso justicia al marcador y llevó la serie a los penales. Ahí Central sacó dos penales de ventaja pero falló y se definió en el uno por uno, donde el arquero Quintero fue el que marcó el de la victoria.
Formaciones:
Sportivo Las Parejas: Pablo Fernández; Alan Luque, Maximiliano Romero, Matías Espíndola (77' Julián Oryniak) y Martín Alemandi; Federico Pizzichini, Luciano Zannier (52' Carlos Tombolini), Noel León (52' Federico Segovia) y Alan Balbi; Martín Caballo (77' Federico Príncipe) y Maximiliano Bocchietti (65' Julián Mavilla). Director técnico: Walter Grazziosi . Suplentes: Alvaro Ramírez y Luciano Martoglia.
Rosario Central: Valentino Quintero; Ulises Ciccioli, Luca Raffin,Guido Birse y lautaro Figueroa; Ramiro Peralta (72' Mateo Serra), Carlos Campos, Leandro Iglesias (80' Santiago Contreras), y Santiago García (80' Tomás Salteño); Juan Cruz Cerrudo y Agustín Módica. Director técnico: Germán Rivarola. Suplentes: Lucas Cuevas, Mateo González, Gaspar Duarte y Cristian Bonesso.
Goles: 47' Cerrudo (RC) y 96' Balbi (SLP)
Definición por penales: 1-0 SPL (Romero); 1-1 RC (Modica); 1-1 SLP (Quintero se lo atajó a Mavilla); 2-1 RC (Duarte); 2-1 SLP (Balbi arriba del travesaño); 2-1 RC (Fernández se lo contuvo a Raffin); 2-2 SLP (Alemandi); 3-2 RC (Ciccioli); 3-3 SLP (Segovia); 3-3 RC (Fernández se lo atajó a Salteño); 4-3 SLP (PIzzichini); 4-4 RC (Serra); 4-4 SLP (Tombolini remató al travesaño); 5-4 RC (Quintero).
Arbitro: Enzo Silvestre
Estadio: 4 de Setiembre, Sportivo Las Parejas",Ovación,https://www.lacapital.com.ar/ovacion/copa-santa-fe-central-al-final-debio-ganarlo-la-definicion-penales-n10096472.html,2023-10-20T21:42:00
Jornada regional sobre el rol de los preceptores,"El próximo 4 de noviembre de 9 a 13.30 se realizará en la ciudad de Santa Fe una jornada de reflexión sobre el rol del preceptor en las escuelas secundarias. El encuentro está organizado por la Unidad de Gestión de Proyectos Estratégicos (UGPE), la Unión de Auxiliares Docentes de Santa Fe (Unad) y la Fundación Pedagogía en Foco. Tendrá lugar en el salón del sindicato de UPCN, de avenida Rivadavia 2527, y las acreditaciones comenzarán a las 8:30.
Luego del primer congreso nacional de preceptores realizado el 5 de agosto pasado en la ciudad de Rosario, llega esta jornada con el objetivo de profundizar en determinadas temáticas surgidas de los relevamientos realizados. Asimismo, los organizadores anuncian que éste será el inicio de un ciclo de encuentros regionales con la finalidad de acercar propuestas a diferentes localidades para territorializar la mirada de y sobre los preceptores.
Una publicación compartida por Pedagogiaenfoco (@pedagogiaenfoco)
Paneles y conferencias
La actividad está dirigida al público en general, docentes, preceptores en ejercicio, estudiantes de profesorados y a todos aquellos interesados en ejercer el rol de preceptor en la escuela secundaria.
Las temáticas que se desarrollarán en la actividad versarán sobre el acompañamiento pedagógico del preceptor, las problemáticas actuales que desafían a la escuela, la prevención de situaciones conflictivas, y la preceptora y el preceptor de la escuela secundaria, su rol y función desde la perspectiva normativa.
Los paneles contarán con especialistas en cada una de las temáticas y se desarrollarán a modo de conferencias, con un espacio para preguntas por parte de los asistentes. Las jornadas se replicarán durante 2024 en distintas localidades del territorio provincial para todos aquellos que quieran formarse e informarse en la materia. La participación en la actividad se certifica con puntaje (decreto 3029/12), de acuerdo a la normativa que regula la carrera docente.
Para más información e inscripción escribir al email pedagogiaenfocorosario@gmail.com, uniondeauxiliaresdocentes@gmail.com o al WhatsApp 341-3820826 o 342-576-6906.",Educación,https://www.lacapital.com.ar/educacion/jornada-regional-el-rol-los-preceptores-n10096165.html,2023-10-20T21:25:00
"Carreras técnicas y la diversidad, uno de los problemas más desafiantes","Las mujeres constituimos la mitad de la población mundial. Sin embargo, tenemos poca presencia en los espacios de la ingeniería y la tecnología. Durante mucho tiempo se argumentó que el determinismo biológico hace que nos inclinemos más a tareas asociadas con el cuidado y la vida, como la docencia, la biología, las especialidades médicas menos tecnológicas. Las ciencias sociales y la neurología se encargaron de demostrar que esto no es así: las mujeres y los varones tenemos condiciones y potencial para desarrollar capacidades en todo el abanico del conocimiento. ¿Por qué entonces la matrícula femenina en ingeniería sigue siendo 25 por ciento en la Argentina y poco más del 20 por ciento a nivel mundial?
Una investigación hecha por Unesco, Flacso y Disney en 2017 muestra que entre 3° y 6° grado de la educación primaria, el porcentaje de niñas que creen que son buenas en matemática pasa del 33 al 11 por ciento. Las niñas arrancan con un porcentaje similar al de los niños, y se reduce a un tercio en apenas tres años. La cultura nos socializa para pensarnos no aptas para la matemática. Tenemos un problema en el acceso de las mujeres a carreras universitarias en ingeniería y tecnología, y el problema no es nuestra naturaleza.
Tampoco es nuestra naturaleza la que pone barreras en el desarrollo de las carreras profesionales de las mujeres en ingeniería y tecnología. Los estereotipos que construyen al profesional de la ingeniería arman casi siempre una imagen de varón. Debbie Sterling en su charla TEDx pide al público que imagine un profesional de la ingeniería, y afirma que es poco probable que el público haya visualizado una persona como ella, que es una mujer joven e ingeniera. El modelo de liderazgo en las empresas de ingeniería es todavía eminentemente masculino. Quienes ocupan puestos de poder son en su inmensa mayoría varones. Se invisibilizan en la toma de decisiones problemas estructurales como los sesgos inconscientes, los micromachismos, los estereotipos y el conflicto cuidado-carrera profesional que vive principalmente en las historias de las mujeres.
La realidad es que la elección de una carrera, para quienes tienen el privilegio de poder hacerla, no es otra cosa que la elección de un modo de vida. Y la ingeniería, además de brindar acceso a trabajos bien remunerados, ofrece la posibilidad de carreras creativas y desafiantes, que permiten construir vidas ricas que aportan a la sociedad a través del despliegue de tecnología. Por otro lado, cada vez más sabemos que la diversidad de perspectiva enriquece todos los ambientes en los que se implementa, y también enriquecería la ingeniería y el desarrollo tecnológico.
Quienes estudiamos sistemas que responden a leyes físicas tendemos a pensar que todo se puede representar como una máquina: un sistema que tiene leyes y que deviene siguiendo esas leyes. Creemos, un poco ingenuamente, que las organizaciones también se pueden analizar de esta manera. Pero las organizaciones son conjuntos de personas, más parecidas a un ecosistema que a una máquina. Y lo que sucede en ellas es consecuencia de decisiones, no de leyes naturales.
Las unidades académicas y de investigación, las empresas y el Estado tienen que hacer un buen diagnóstico de las barreras que impiden el ingreso y la permanencia de las mujeres, y diseñar medidas audaces y creativas para eliminarlas o mitigarlas. Después de todo, qué es la ingeniería si no el ejercicio permanente de identificar problemas y resolverlos usando el conocimiento técnico de manera creativa. Enfrentemos a la diversidad como uno de los problemas más desafiantes a resolver y pongamos nuestro ingenio a trabajar. Todo empieza con la convicción y la decisión de hacerlo.
(*) Presidenta de la Fundación Invap y del primer Comité Ejecutivo de Women in Nuclear América Latina y el Caribe.",Educación,https://www.lacapital.com.ar/educacion/carreras-tecnicas-y-la-diversidad-uno-los-problemas-mas-desafiantes-n10096144.html,2023-10-20T21:20:00
